Title,Company,Location,Remote,Link,Source,Term,Skills,Lat,Lon
"Wissenschaftliche Mitarbeit im Bereich Biologie, Artenschutz und NATURA 2000 und/oder im hydrologischen Bereich (m/w/d)",Froelich & Sporbeck GmbH & Co. KG,Augsburg,False,https://www.greenjobs.de/stellenanzeige/wissenschaftliche-mitarbeit-im-bereich-biologie-artenschutz-und-natura-2000-und-oder-im-hydrologischen-bereich--100150644/?s=geo%C3%B6kologie,Greenjobs,geoökologie,"GIS/Remote Sensing, Planning/Law",48.3690341,10.8979522
Projektbearbeiter Umweltplanung (m/w/d) Schwerpunkt Naturschutz & Genehmigungsverfahren,Büro Knoblich GmbH Landschaftsarchitekten BDLA/IFLA,Erkner,False,https://www.greenjobs.de/stellenanzeige/projektbearbeiter-umweltplanung-schwerpunkt-naturschutz-genehmigungsverfahren--100151889/?s=geo%C3%B6kologie,Greenjobs,geoökologie,Planning/Law,52.4259804,13.7542811
Wissenschaftlicher Mitarbeiter (m/w/d) mit Promotionsmöglichkeit - Projekt: Schutz der Biodiversität am Spitzberg bei Tübingen (BioDiv Spitzberg) - in Teilzeit,Hochschule für Forstwirtschaft    a.N.,Rottenburg,False,https://www.greenjobs.de/stellenanzeige/wissenschaftlicher-mitarbeiter-mit-promotionsmoeglichkeit-projekt-schutz-der-biodiversitaet-am-spitzberg-bei-tuebingen-biodiv-spitzberg-in-teilzeit--100151828/?s=geo%C3%B6kologie,Greenjobs,geoökologie,General,48.47696,8.9336788
Studentische oder wissenschaftliche Hilfskraft / geringfügige Beschäftigung (m/w/d),Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e.V.,Müncheberg,False,https://www.greenjobs.de/stellenanzeige/studentische-oder-wissenschaftliche-hilfskraft-geringfuegige-beschaeftigung--100151752/?s=geo%C3%B6kologie,Greenjobs,geoökologie,General,52.5037484,14.1404688
Landschafts- und Umweltplaner (m/w/d),Gesellschaft für angewandte Ökologie und Umweltplanung mbH (GefaÖ),Berlin,False,https://www.greenjobs.de/stellenanzeige/landschafts-und-umweltplaner--100150783/?s=geo%C3%B6kologie,Greenjobs,geoökologie,General,52.5173885,13.3951309
"Wissenschaftliche Mitarbeit (Promotionsstelle) im Bereich: digitale Landschaftsökologie, globaler Wandel und urbanes Pollenmonitoring - in Teilzeit",Gottfried Wilhelm Leibniz Universität,Hannover,False,https://www.greenjobs.de/stellenanzeige/wissenschaftliche-mitarbeit-promotionsstelle-im-bereich-digitale-landschaftsoekologie-globaler-wandel-und-urbanes-pollenmonitoring-in-teilzeit--100151703/?s=geo%C3%B6kologie,Greenjobs,geoökologie,General,52.3744779,9.7385532
Wissenschaftliche*r Mitarbeiter*in Physische Geographie / Laborleitung,Universität,Hildesheim,False,https://www.greenjobs.de/stellenanzeige/wissenschaftliche-mitarbeiter-physische-geographie-laborleitung--100151699/?s=geo%C3%B6kologie,Greenjobs,geoökologie,Lab/Field,52.1527188,9.9518083
Hydrologin / Hydrologe oder Naturwissenschaftlerin / Naturwissenschaftler (w/m/d) für den Bereich Gebietshydrologie - hydrologische Gutachten,Bayerisches Landesamt für Umwelt,Augsburg,False,https://www.greenjobs.de/stellenanzeige/hydrologin-hydrologe-oder-naturwissenschaftlerin-naturwissenschaftler-fuer-den-bereich-gebietshydrologie-hydrologische-gutachten--100151535/?s=geo%C3%B6kologie,Greenjobs,geoökologie,"GIS/Remote Sensing, Planning/Law",48.3690341,10.8979522
Projektleiter / Planer im Bereich Geowissenschaften (m/w/d),Dr. G. Pedall Ingenieurbüro GmbH,Haag,False,https://www.greenjobs.de/stellenanzeige/projektleiter-planer-im-bereich-geowissenschaften--100151518/?s=geo%C3%B6kologie,Greenjobs,geoökologie,General,49.8703389,11.5610028
Technische/r Sachbearbeiter/in (m/w/d) für den Fachbereich Seen - in Teilzeit,"Hessisches Landesamt für Naturschutz, Umwelt und Geologie (HLNUG)",Kassel,False,https://www.greenjobs.de/stellenanzeige/technische-sachbearbeiter-fuer-den-fachbereich-seen-in-teilzeit--100151447/?s=geo%C3%B6kologie,Greenjobs,geoökologie,General,51.3157833,9.4978479
Umweltbaubegleitung (w/m/d),Mailänder Consult GmbH,Karlsruhe,False,https://www.greenjobs.de/stellenanzeige/umweltbaubegleitung--100149723/?s=geo%C3%B6kologie,Greenjobs,geoökologie,General,49.0068705,8.4034195
Landschafts- und Umweltplaner (m/w/d),Gesellschaft für angewandte Ökologie und Umweltplanung mbH (GefaÖ),Leipzig,False,https://www.greenjobs.de/stellenanzeige/landschafts-und-umweltplaner--100151193/?s=geo%C3%B6kologie,Greenjobs,geoökologie,General,51.3406321,12.3747329
Teamleitung Umweltplanung (Mensch*),Not specified,Hamburg,False,https://www.greenjobs.de/stellenanzeige/teamleitung-umweltplanung-mensch--100149722/?s=geo%C3%B6kologie,Greenjobs,geoökologie,General,53.550341,10.000654
Berufspraktikum im Landschaftsplanungsbüro (m/w/d),GFN-Umweltplanung,München,False,https://www.greenjobs.de/stellenanzeige/berufspraktikum-im-landschaftsplanungsbuero--100109572/?s=geo%C3%B6kologie,Greenjobs,geoökologie,General,48.1371079,11.5753822
Praktikant/in im Umweltbereich,UDATA GmbH    an der Weinstraße,Neustadt,False,https://www.greenjobs.de/stellenanzeige/praktikant-im-umweltbereich--100109495/?s=geo%C3%B6kologie,Greenjobs,geoökologie,Data Science,49.3539802,8.1350021
Anmeldung Arbeitgeber-Newsletter,"Login
							                                Jobsucher:innen  Login
							     ...",Deutschland,False,https://www.greenjobs.de/angebote/newsletteranmeldung.html,Greenjobs,"geoökologie, umweltwissenschaften, hydrologie, naturschutz, klimaschutz",General,,
Umweltbaubegleitung / ökologische Baubegleitung,Höke Landschaftsarchitektur  Umweltplanung GbR,Bielefeld,False,https://www.greenjobs.de/stellenanzeige/umweltbaubegleitung-oekologische-baubegleitung--100151927/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,GIS/Remote Sensing,52.0191005,8.531007
"Werkstudent (m/w/d) für UBB, NFB und ÖBB","Kirchner Ingenieure   Bremen, Varel,",Hamburg,False,https://www.greenjobs.de/stellenanzeige/werkstudent-fuer-ubb-nfb-und-oebb--100150918/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,53.550341,10.000654
Teilprojektleitung Klima-Aktionsplan (m/w/d),Stadtverwaltung,Jena,False,https://www.greenjobs.de/stellenanzeige/teilprojektleitung-klima-aktionsplan--100151909/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,50.9281717,11.5879359
Director (m/w/d) – Energy & Resources,adelphi consult GmbH    / hybrid (mgl.),Berlin,False,https://www.greenjobs.de/stellenanzeige/director-energy-resources--100151898/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,52.5173885,13.3951309
